 format: day,hour,value location:60_127 Start : 20220801 
 1, 0000, 96.000000 
 1, 0100, 113.000000 
 1, 0200, 117.000000 
 1, 0300, 93.000000 
 1, 0400, 98.000000 
 1, 0500, 56.000000 
 1, 0600, 58.000000 
 1, 0700, 66.000000 
 1, 0800, 76.000000 
 1, 0900, 88.000000 
 1, 1000, 65.000000 
 1, 1100, 75.000000 
 1, 1200, 77.000000 
 1, 1300, 110.000000 
 1, 1400, 120.000000 
 1, 1500, 123.000000 
 1, 1600, 125.000000 
 1, 1700, 44.000000 
 1, 1800, 114.000000 
 1, 1900, 142.000000 
 1, 2000, 146.000000 
 1, 2100, 149.000000 
 1, 2200, 174.000000 
 1, 2300, 182.000000 
 2, 0000, 178.000000 
 2, 0100, 229.000000 
 2, 0200, 203.000000 
 2, 0300, 193.000000 
 2, 0400, 194.000000 
 2, 0500, 165.000000 
 2, 0600, 174.000000 
 2, 0700, 192.000000 
 2, 0800, 202.000000 
 2, 0900, 203.000000 
 2, 1000, 187.000000 
 2, 1100, 197.000000 
 2, 1200, 222.000000 
 2, 1300, 204.000000 
 2, 1400, 232.000000 
 2, 1500, 241.000000 
 2, 1600, 208.000000 
 2, 1700, 199.000000 
 2, 1800, 198.000000 
 2, 1900, 214.000000 
 2, 2000, 235.000000 
 2, 2100, 212.000000 
 2, 2200, 224.000000 
 2, 2300, 213.000000 
 3, 0000, 258.000000 
 3, 0100, 228.000000 
 3, 0200, 245.000000 
 3, 0300, 240.000000 
 3, 0400, 286.000000 
 3, 0500, 274.000000 
 3, 0600, 265.000000 
 3, 0700, 265.000000 
 3, 0800, 260.000000 
 3, 0900, 254.000000 
 3, 1000, 253.000000 
 3, 1100, 245.000000 
 3, 1200, 238.000000 
 3, 1300, 255.000000 
 3, 1400, 243.000000 
 3, 1500, 240.000000 
 3, 1600, 252.000000 
 3, 1700, 247.000000 
 3, 1800, 257.000000 
 3, 1900, 269.000000 
 3, 2000, 293.000000 
 3, 2100, 297.000000 
 3, 2200, 266.000000 
 3, 2300, 266.000000 
 4, 0000, 249.000000 
 4, 0100, 235.000000 
 4, 0200, 268.000000 
 4, 0300, 276.000000 
 4, 0400, 250.000000 
 4, 0500, 259.000000 
 4, 0600, 269.000000 
 4, 0700, 280.000000 
 4, 0800, 275.000000 
 4, 0900, 282.000000 
 4, 1000, 263.000000 
 4, 1100, 263.000000 
 4, 1200, 276.000000 
 4, 1300, 265.000000 
 4, 1400, 277.000000 
 4, 1500, 268.000000 
 4, 1600, 246.000000 
 4, 1700, 203.000000 
 4, 1800, 191.000000 
 4, 1900, 189.000000 
 4, 2000, 221.000000 
 4, 2100, 226.000000 
 4, 2200, 201.000000 
 4, 2300, 179.000000 
 5, 0000, 228.000000 
 5, 0100, 194.000000 
 5, 0200, 236.000000 
 5, 0300, 251.000000 
 5, 0400, 198.000000 
 5, 0500, 200.000000 
 5, 0600, 232.000000 
 5, 0700, 269.000000 
 5, 0800, 236.000000 
 5, 0900, 220.000000 
 5, 1000, 232.000000 
 5, 1100, 254.000000 
 5, 1200, 285.000000 
 5, 1300, 274.000000 
 5, 1400, 260.000000 
 5, 1500, 274.000000 
 5, 1600, 269.000000 
 5, 1700, 192.000000 
 5, 1800, 190.000000 
 5, 1900, 246.000000 
