etag,id,snippet
IHfnZ1F0-K8xiEAxRSeBsajm7BQ,"{'kind': 'youtube#video', 'videoId': 'WGmByxBynsQ'}","{'publishedAt': '2022-09-18T09:57:58Z', 'channelId': 'UCLnCaR73ngnMJhZl730d9tQ', 'title': '발라드 명곡 모음 광고없음 노래모음 2022💖 1990년대 ~ 2000년대 감성 발라드 모음 🌧 비오는날 듣기 좋은 발라드곡 모음', 'description': '발라드 명곡 모음 광고없음 노래모음 2022   1990년대 ~ 2000년대 감성 발라드 모음 비오는날 듣기 좋은 발라드곡 모음 발라드 ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/WGmByxBynsQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/WGmByxBynsQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/WGmByxBynsQ/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'K-POP 발라드 모음', 'liveBroadcastContent': 'none', 'publishTime': '2022-09-18T09:57:58Z'}"
G6SpLY-DDTTq7vcQV039oDD5I1A,"{'kind': 'youtube#video', 'videoId': 'uts1pJsV-9c'}","{'publishedAt': '2022-08-23T18:02:52Z', 'channelId': 'UCDJjFKa0ztdHxMoRoIsPXqw', 'title': '[Playlist](방구석 콘서트)비올때 듣기좋은 노래모음 *이어폰 필수', 'description': '비올때듣는노래 #윤하 #노래모음 ❤음악에 대한 저작권 소유자가 아니므로 영상 및 광고를 통해 수익창출을 하지 않습니다. ❤ 유튜브 ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/uts1pJsV-9c/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/uts1pJsV-9c/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/uts1pJsV-9c/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '차트신(ChartSin)', 'liveBroadcastContent': 'none', 'publishTime': '2022-08-23T18:02:52Z'}"
qiO7udCKRnRvaqts_ranp8x-azQ,"{'kind': 'youtube#playlist', 'playlistId': 'PLisOEvkRTRDqkdeX2yYIB8YiQTm3hUjOK'}","{'publishedAt': '2022-08-16T23:00:25Z', 'channelId': 'UC8DURCs2stgn3Gaaa4BmLaA', 'title': '비올때 듣는노래', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/NtUf3a1Dxkw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NtUf3a1Dxkw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NtUf3a1Dxkw/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '박종언', 'liveBroadcastContent': 'none', 'publishTime': '2022-08-16T23:00:25Z'}"
xyOjGAg02uL8SN0Bks3TNUFSfds,"{'kind': 'youtube#playlist', 'playlistId': 'PL81afWYfuN3RlLCMhKTr33oiaCy1nYUcM'}","{'publishedAt': '2022-08-11T14:19:05Z', 'channelId': 'UCLWHzaUFReyIiWxG3L0XTmA', 'title': '비올때 듣는 노래', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/hGWMhVbaJNg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hGWMhVbaJNg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hGWMhVbaJNg/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '차뇽s', 'liveBroadcastContent': 'none', 'publishTime': '2022-08-11T14:19:05Z'}"
rpry2CG8PmTNloxlsxafOma_Byk,"{'kind': 'youtube#playlist', 'playlistId': 'PLiajT37fX6nutB9CH8y6M2_7BvjuBXx-s'}","{'publishedAt': '2022-08-10T02:46:56Z', 'channelId': 'UCDdJnI7CGncffLcXKX41ZTQ', 'title': '비올때랑 어울리는 텐션 한스푼 포함된 노래', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/T1wssdlybp4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/T1wssdlybp4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/T1wssdlybp4/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '무엘', 'liveBroadcastContent': 'none', 'publishTime': '2022-08-10T02:46:56Z'}"
tE0z2kYz2u1cBFfsDXEPF8i9LDQ,"{'kind': 'youtube#video', 'videoId': 'ZihRf5yRuAU'}","{'publishedAt': '2022-08-08T10:00:18Z', 'channelId': 'UCoNXP7DluTE9yFZa3-cYKLQ', 'title': '뻔하지 않은 비올 때 듣기 좋은 노래들 | R&amp;B, 감성힙합, 시티팝 | 𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭', 'description': '타임라인은 고정댓글을 확인해주세요. Timeline is on the comment below. #인디 #플레이리스트 #rnb #시티팝 #감성힙합.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/ZihRf5yRuAU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ZihRf5yRuAU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ZihRf5yRuAU/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Wanna Know', 'liveBroadcastContent': 'none', 'publishTime': '2022-08-08T10:00:18Z'}"
r4Svb2m5UIbPLuYecLSR5euBSkw,"{'kind': 'youtube#playlist', 'playlistId': 'PLV4K7b1CyWzENGRm3e01Zrq48rx8poNhL'}","{'publishedAt': '2022-08-08T04:48:36Z', 'channelId': 'UCvyvbOGFdyerSrdVSurZiwA', 'title': '우원재 추천곡(비올때)', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/fufRlJ_IoWM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/fufRlJ_IoWM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/fufRlJ_IoWM/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '김서영', 'liveBroadcastContent': 'none', 'publishTime': '2022-08-08T04:48:36Z'}"
rI9vhIJTWMDrIQTvmBv8VC0uDC8,"{'kind': 'youtube#video', 'videoId': 'rxUVfLQ-arE'}","{'publishedAt': '2022-08-05T10:25:12Z', 'channelId': 'UCKSP9slT1qYwbwpiPyJS3Pg', 'title': '◈ ◈ 비올때 듣기 좋은 노래 모음 [전곡가사첨부] ◈ ◈  | ep.18', 'description': '비올때 듣기 좋은 노래 모음 [전곡가사첨부] ◈ ◈ https://youtu.be/zW7BpgjJubA 01. 윤정하 - 찬비 02. 채은옥 - 빗물 03. 햇빛촌 ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/rxUVfLQ-arE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rxUVfLQ-arE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rxUVfLQ-arE/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'MacLeod Eide', 'liveBroadcastContent': 'none', 'publishTime': '2022-08-05T10:25:12Z'}"
4zz5KYk97Y3k3Zxk-CyirvqFyPg,"{'kind': 'youtube#video', 'videoId': 'Tnor0HXy0Og'}","{'publishedAt': '2022-08-03T09:26:08Z', 'channelId': 'UCeILU3NltDv-iGWr8-vhWIQ', 'title': '척추병원 CM송 탈락곡!비올때 더 생각이!', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/Tnor0HXy0Og/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Tnor0HXy0Og/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Tnor0HXy0Og/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '리컴뮤직', 'liveBroadcastContent': 'none', 'publishTime': '2022-08-03T09:26:08Z'}"
BwRNKB0-zs3GS66j6QfC7LmK14o,"{'kind': 'youtube#video', 'videoId': 'MrO3NbW70ek'}","{'publishedAt': '2022-07-31T11:24:55Z', 'channelId': 'UCqN6lcSNy95H_e4vbq9R2rA', 'title': '#팬플룻 빗물(채은옥) 7080 비올때 듣는 분위기좋은 노래 #panflute', 'description': '', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/MrO3NbW70ek/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/MrO3NbW70ek/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/MrO3NbW70ek/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': '추억담는남자 팬플룻', 'liveBroadcastContent': 'none', 'publishTime': '2022-07-31T11:24:55Z'}"
