publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime
2022-09-20T23:00:01Z,UCoQy9FkmNm1aDDNU3oSAJyA,[ 🌈 90~2000년대 감성 발라드 히트곡 🌙 ] 첫 소절만 들어도 눈물나는 감성 발라드 모음~ 눈물나게 하는 추천 발라드 ~ Korean ballad songs,90~2000년대 감성 발라드 히트곡 ] 첫 소절만 들어도 눈물나는 감성 발라드 모음~ 눈물나게 하는 추천 발라드 ~ Korean ballad ...,"{'default': {'url': 'https://i.ytimg.com/vi/3DMA085hdbo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/3DMA085hdbo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/3DMA085hdbo/hqdefault.jpg', 'width': 480, 'height': 360}}",떠오르는 별,none,2022-09-20T23:00:01Z
2022-09-20T23:00:30Z,UCej27YKcps6O0Ja9wAcdKfA,가을에 듣기 좋은 노래 베스트 100곡   드라마 OST 역대 가장 인기 많았던 노래 베스트20 ️ 영화 사운드 트랙 컬렉션 광고 없음,가을에 듣기 좋은 노래 베스트 100곡 드라마 OST 역대 가장 인기 많았던 노래 베스트20 ️ 영화 사운드 트랙 컬렉션 광고 없음 korean ...,"{'default': {'url': 'https://i.ytimg.com/vi/rB7ZdZ-Um10/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rB7ZdZ-Um10/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rB7ZdZ-Um10/hqdefault.jpg', 'width': 480, 'height': 360}}",Soul102 Melody,none,2022-09-20T23:00:30Z
2022-09-20T22:30:05Z,UC3yDkSsHGxxH65awcbZdrHA,하루종일 듣기 좋은 노래 |  일할때 듣기좋은 발라드 추천 광고없는 노래모음,하루종일 듣기 좋은 노래 | 일할때 듣기좋은 발라드 추천 광고없는 노래모음 발라드 차트둥이 는 국내외 유명 가수 및 뮤지션과 연계된 ...,"{'default': {'url': 'https://i.ytimg.com/vi/KZayxRO8ZTU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KZayxRO8ZTU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KZayxRO8ZTU/hqdefault.jpg', 'width': 480, 'height': 360}}",Ballad Korean Music,none,2022-09-20T22:30:05Z
2022-09-20T22:00:15Z,UCgd98i9dm6cPm2o-5WtxqIw,하루 종일 듣기 좋은 노래 🎶 일할때 듣기좋은 발라드 추천 광고없는 노래모음🎶 김범수 임창정 박효신성시경 백지영,하루 종일 듣기 좋은 노래 일할때 듣기좋은 발라드 추천 광고없는 노래모음   김범수 임창정 박효신성시경 백지영 ...,"{'default': {'url': 'https://i.ytimg.com/vi/PhSPnM11HXU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/PhSPnM11HXU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/PhSPnM11HXU/hqdefault.jpg', 'width': 480, 'height': 360}}",멜로디 소리,none,2022-09-20T22:00:15Z
2022-09-20T22:00:11Z,UCaLO6w1uUScJ1lZHCZDmNbw,듣기만 해도 설레는 1990~2000년 - 가을에 듣기 좋은 노래 베스트 100곡 - 일할 때 듣기 좋은 노래 듣는 이의 마음을 울리는 발라드 모음집 - k-pop 발라드 모음,듣기만 해도 설레는 1990~2000년 - 가을에 듣기 좋은 노래 베스트 100곡 - 일할 때 듣기 좋은 노래 듣는 이의 마음을 울리는 발라드 ...,"{'default': {'url': 'https://i.ytimg.com/vi/SxvwvFxVnlU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SxvwvFxVnlU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SxvwvFxVnlU/hqdefault.jpg', 'width': 480, 'height': 360}}",추억 소환 ,none,2022-09-20T22:00:11Z
2022-09-20T22:00:09Z,UCaw9iGu5i1_76bpaRAGI7NA,일할 때 듣기 좋은 노래 8090년대 기 좋은 추천 발라드 모음| k-pop 발라드 모음 - 당신의 마음을 감동시키는 노래들 - 발라드 모음,일할 때 듣기 좋은 노래 8090년대 기 좋은 추천 발라드 모음| k-pop 발라드 모음 - 당신의 마음을 감동시키는 노래들 - 발라드 모음 ...,"{'default': {'url': 'https://i.ytimg.com/vi/NZ2nmOmfp_U/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NZ2nmOmfp_U/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NZ2nmOmfp_U/hqdefault.jpg', 'width': 480, 'height': 360}}", Korean KPOP - Ballad Music,none,2022-09-20T22:00:09Z
2022-09-20T21:45:01Z,UC-S5Fa3shcvAwJUU8F1RxvQ,일할때 듣기좋은 발라드 추천 광고없는 노래모음 💖 하루 종일 들어도 좋은노래 BEST 100곡 💖 김범수 /임창정 /박효신/성시경/ 백지영/ 더원/태연/박명수,일할때 듣기좋은 발라드 추천 광고없는 노래모음 하루 종일 들어도 좋은노래 BEST 100곡 김범수 /임창정 /박효신/성시경/ ...,"{'default': {'url': 'https://i.ytimg.com/vi/lxOd88q-hdE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/lxOd88q-hdE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/lxOd88q-hdE/hqdefault.jpg', 'width': 480, 'height': 360}}",음악 채널,none,2022-09-20T21:45:01Z
2022-09-20T21:00:17Z,UClB3e5BVd_0JemNCz22OIIw,일할때 듣기좋은 발라드 ✨하루 종일 들어도 좋은노래 BEST 100곡 ✨이승철/박효신/펀치/백지영/에일리/거미/김범수.,하루 종일 들어도 좋은노래 BEST 100곡 ✨ 일할때 듣기좋은 발라드 ✨ 이승철/박효신/펀치/백지영/에일리/거미/김범수.,"{'default': {'url': 'https://i.ytimg.com/vi/GIx91adQOHo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/GIx91adQOHo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/GIx91adQOHo/hqdefault.jpg', 'width': 480, 'height': 360}}",DRAMA Koraen,none,2022-09-20T21:00:17Z
2022-09-20T21:00:02Z,UCoOQi6vi1n9EcUKJMmAK0dg,일할때 듣기좋은 발라드 추천 광고없는 노래모음 💖 하루 종일 들어도 좋은노래 BEST 100곡 💖 김범수 /임창정 /박효신/성시경/ 백지영/ 더원/태연/박명수,https://www.youtube.com/playlist?list=PLkPqVGs6c-znLwDebFJiLsaI5KeX2Irnm 일할때 듣기좋은 발라드 추천 광고없는 노래 ...,"{'default': {'url': 'https://i.ytimg.com/vi/6rwR9pw7fcM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6rwR9pw7fcM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6rwR9pw7fcM/hqdefault.jpg', 'width': 480, 'height': 360}}",Korean Songs,none,2022-09-20T21:00:02Z
2022-09-20T21:00:14Z,UCbrCWDza-2f609N9vdYG2_A,"하루 종일 들어도 좋은노래 BEST 50곡.일할때 듣기좋은 발라드 추천 광고없는 노래모음 💖양파, 이승기,왁스,김범수,소울스타,원티드,숙희,린,민경훈,문명진,루다,더씨야,윤건.","하루 종일 들어도 좋은노래 BEST 50곡.일할때 듣기좋은 발라드 추천 광고없는 노래모음 양파, 이승기,왁스,김범수,소울스타,원티드, ...","{'default': {'url': 'https://i.ytimg.com/vi/QnWne53Hk-g/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/QnWne53Hk-g/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/QnWne53Hk-g/hqdefault.jpg', 'width': 480, 'height': 360}}",KPOP BEST SONG,none,2022-09-20T21:00:14Z
2022-09-20T21:00:12Z,UCAqLb2Eh_E_DXu15fLdpqkg,가을에 듣기 좋은 노래 베스트 100곡 💖 하루 종일 들어도 좋은노래 BEST 100곡 💖 운동할 때 듣는 음악 | 일할때 듣기좋은 발라드,https://www.youtube.com/channel/UCAqLb2Eh_E_DXu15fLdpqkg/community ❤️ ❤️➤가을에 듣기 좋은 노래 베스트 100곡 ...,"{'default': {'url': 'https://i.ytimg.com/vi/65jXi7mLT_I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/65jXi7mLT_I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/65jXi7mLT_I/hqdefault.jpg', 'width': 480, 'height': 360}}",K-POP 발라드 모음,none,2022-09-20T21:00:12Z
2022-09-20T21:00:02Z,UCWpGInFlq31xRV_AmCKD6aA,일할때 듣기좋은 발라드 추천 광고없는 노래모음 💖 하루 종일 들어도 좋은노래 BEST 100곡 가사포함,일할때 듣기좋은 발라드 추천 광고없는 노래모음 하루 종일 들어도 좋은노래 BEST 100곡 가사포함. https://youtu.be/2YoZJobylNk ...,"{'default': {'url': 'https://i.ytimg.com/vi/2YoZJobylNk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/2YoZJobylNk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/2YoZJobylNk/hqdefault.jpg', 'width': 480, 'height': 360}}",일할때 듣기좋은 노래 - PlayList,none,2022-09-20T21:00:02Z
2022-09-20T21:00:04Z,UCYHwV0nTtnRos2W6e7prUrQ,"하루 종일 듣기 좋은 노래 🎶 일할때 듣기좋은 발라드 추천 광고없는 노래모음🎶  김범수 /임창정 /박효신/성시경/ 백지영/ 더원/태연/박명수/에일리/찬열, 펀치/다비치/로꼬, 펀치",하루 종일 듣기 좋은 노래 일할때 듣기좋은 발라드 추천 광고없는 노래모음   김범수 /임창정 /박효신/성시경/ 백지영/ 더원/태연/ ...,"{'default': {'url': 'https://i.ytimg.com/vi/27Z2hfjzjCY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/27Z2hfjzjCY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/27Z2hfjzjCY/hqdefault.jpg', 'width': 480, 'height': 360}}",노래 모음 Korean Ballad Songs,none,2022-09-20T21:00:04Z
2022-09-20T10:44:44Z,UCLnCaR73ngnMJhZl730d9tQ,일할 때 듣기 좋은 노래💖 1990년대 ~ 2000년대 감성 발라드 모음💖하루 종일 듣기 좋은 베스트 50곡 - 여름 더위를 이겨낼 발라드 모음,일할 때 듣기 좋은 노래   1990년대 ~ 2000년대 감성 발라드 모음  하루 종일 듣기 좋은 베스트 50곡 - 여름 더위를 이겨낼 발라드 ...,"{'default': {'url': 'https://i.ytimg.com/vi/M-ICBwSboQU/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/M-ICBwSboQU/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/M-ICBwSboQU/hqdefault_live.jpg', 'width': 480, 'height': 360}}",K-POP 발라드 모음,live,2022-09-20T10:44:44Z
2022-09-20T08:00:15Z,UCd5NZXR-TAX9yAqRw3f2A_w,일할 때 듣기 좋은 노래   🎶 듣기만 해도 설레는 1990 ~ 2021년 발라드모음 우리가 사랑했던 추억노래 🎶유튜브 최고에 인기곡 모음   20세기 가요 그리고 발라드,일할 때 듣기 좋은 노래 듣기만 해도 설레는 1990 ~ 2021년 발라드모음 우리가 사랑했던 추억노래 유튜브 최고에 인기곡 모음 20 ...,"{'default': {'url': 'https://i.ytimg.com/vi/yyC3IwhfPt4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/yyC3IwhfPt4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/yyC3IwhfPt4/hqdefault.jpg', 'width': 480, 'height': 360}}",Korean 발라드,none,2022-09-20T08:00:15Z
